품목명,품목코드,구분,세부단위_등급,가격_2022(평균),가격_2023(평균),가격_2024(평균)
수박,221,중도매인 판매가격,중도매인 판매가격 > 채소류 > 수박 > 전체 > 상품 > 1개,"19,331","21,206","25,730"
수박,221,소매가격,소매가격 > 채소류 > 수박 > 전체 > 상품 > 1개,"23,869","23,294","27,029"
참외,222,중도매인 판매가격,중도매인 판매가격 > 채소류 > 참외 > 전체 > 상품 > 10kg,"49,375","57,570","55,847"
참외,222,소매가격,소매가격 > 채소류 > 참외 > 전체 > 상품 > 10개,"22,792","25,778","22,016"
토마토,225,중도매인 판매가격,중도매인 판매가격 > 채소류 > 토마토 > 전체 > 상품 > 5kg,"17,438","20,413","25,413"
토마토,225,소매가격,소매가격 > 채소류 > 토마토 > 전체 > 상품 > 1kg,"5,943","6,330","7,267"
딸기,226,중도매인 판매가격,중도매인 판매가격 > 채소류 > 딸기 > 전체 > 상품 > 2kg,"25,264","24,904","27,052"
딸기,226,소매가격,소매가격 > 채소류 > 딸기 > 전체 > 상품 > 100g,"1,566","1,612","1,807"
멜론,257,중도매인 판매가격,중도매인 판매가격 > 채소류 > 멜론 > 전체 > 상품 > 8kg,"33,208","39,447","39,530"
멜론,257,소매가격,소매가격 > 채소류 > 멜론 > 전체 > 상품 > 1개,"12,357","13,084","13,775"
방울토마토,422,중도매인 판매가격,중도매인 판매가격 > 채소류 > 방울토마토 > 전체 > 상품 > 1kg,"6,889","6,658","7,605"
방울토마토,422,소매가격,소매가격 > 채소류 > 방울토마토 > 전체 > 상품 > 1kg,"8,782","9,334","10,994"
사과,411,중도매인 판매가격,중도매인 판매가격 > 과일류 > 사과 > 전체 > 상품 > 10kg,"45,486","62,651","81,835"
사과,411,소매가격,소매가격 > 과일류 > 사과 > 전체 > 상품 > 10개,"26,934","26,217","27,401"
배,412,중도매인 판매가격,중도매인 판매가격 > 과일류 > 배 > 전체 > 상품 > 15kg,"53,895","52,728","99,786"
배,412,소매가격,소매가격 > 과일류 > 배 > 전체 > 상품 > 10개,"35,196","29,066","44,907"
복숭아,413,중도매인 판매가격,중도매인 판매가격 > 과일류 > 복숭아 > 전체 > 상품 > 4kg,"19,993","29,254","22,897"
복숭아,413,소매가격,소매가격 > 과일류 > 복숭아 > 전체 > 상품 > 10개,"21,847","26,123","21,056"
감귤,415,중도매인 판매가격,중도매인 판매가격 > 과일류 > 감귤 > 전체 > 상품 > 3kg,"15,107","20,587","22,751"
감귤,415,중도매인 판매가격,중도매인 판매가격 > 과일류 > 감귤 > 전체 > 상품 > 3kg,"15,107","20,587","22,751"
감귤,415,소매가격,소매가격 > 과일류 > 감귤 > 전체 > 상품 > 10개,"3,429","6,695","6,313"
단감,416,중도매인 판매가격,중도매인 판매가격 > 과일류 > 단감 > 전체 > 상품 > 10kg,"37,834","41,413","47,433"
단감,416,소매가격,소매가격 > 과일류 > 단감 > 전체 > 상품 > 10개,"13,451","14,129","17,211"
바나나,418,중도매인 판매가격,중도매인 판매가격 > 과일류 > 바나나 > 전체 > 상품 > 13kg,"29,641","32,668","29,742"
바나나,418,소매가격,소매가격 > 과일류 > 바나나 > 전체 > 상품 > 100g,323,323,298
참다래,419,중도매인 판매가격,중도매인 판매가격 > 과일류 > 참다래 > 전체 > 상품 > 10kg,"44,187","48,873","56,302"
참다래,419,소매가격,소매가격 > 과일류 > 참다래 > 전체 > 상품 > 10개,"8,753","9,244","9,759"
파인애플,420,중도매인 판매가격,중도매인 판매가격 > 과일류 > 파인애플 > 전체 > 상품 > 12kg,"30,575","35,606","33,266"
파인애플,420,소매가격,소매가격 > 과일류 > 파인애플 > 전체 > 상품 > 1개,"6,542","7,427","7,236"
오렌지,421,중도매인 판매가격,중도매인 판매가격 > 과일류 > 오렌지 > 전체 > 상품 > 18kg,"68,682","71,579","66,991"
오렌지,421,소매가격,소매가격 > 과일류 > 오렌지 > 전체 > 상품 > 10개,"14,778","15,731","16,161"
레몬,424,중도매인 판매가격,중도매인 판매가격 > 과일류 > 레몬 > 전체 > 상품 > 17kg,"65,227","71,052","75,633"
레몬,424,소매가격,소매가격 > 과일류 > 레몬 > 전체 > 상품 > 10개,"9,854","9,934","10,979"
체리,425,중도매인 판매가격,중도매인 판매가격 > 과일류 > 체리 > 전체 > 상품 > 5kg,"99,696","74,728","83,621"
체리,425,소매가격,소매가격 > 과일류 > 체리 > 전체 > 상품 > 100g,"3,044","2,454","2,665"
망고,428,중도매인 판매가격,중도매인 판매가격 > 과일류 > 망고 > 전체 > 상품 > 5kg,"53,188","48,056","48,213"
망고,428,소매가격,소매가격 > 과일류 > 망고 > 전체 > 상품 > 1개,"5,618","5,911","4,992"
