품목명,세부종류명,품목코드,품종코드,구분(도소매),세부단위_등급,가격_2022(평균),가격_2023(평균),가격_2024(평균)
수박,전체,221,전체,중도매인 판매가격,중도매인 판매가격 > 채소류 > 수박 > 전체 > 상품 > 1개,"19,331","21,206","25,730"
수박,전체,221,전체,소매가격,소매가격 > 채소류 > 수박 > 전체 > 상품 > 1개,"23,869","23,294","27,029"
수박,수박,221,00,중도매인 판매가격,중도매인 판매가격 > 채소류 > 수박 > 수박 > 상품 > 1개,"19,331","21,206","25,730"
수박,수박,221,00,소매가격,소매가격 > 채소류 > 수박 > 수박 > 상품 > 1개,"23,869","23,294","27,029"
참외,전체,222,전체,중도매인 판매가격,중도매인 판매가격 > 채소류 > 참외 > 전체 > 상품 > 10kg,"49,375","57,570","55,847"
참외,전체,222,전체,소매가격,소매가격 > 채소류 > 참외 > 전체 > 상품 > 10개,"22,792","25,778","22,016"
참외,참외,222,00,중도매인 판매가격,중도매인 판매가격 > 채소류 > 참외 > 참외 > 상품 > 10kg,"49,375","57,570","55,847"
참외,참외,222,00,소매가격,소매가격 > 채소류 > 참외 > 참외 > 상품 > 10개,"22,792","25,778","22,016"
토마토,전체,225,전체,중도매인 판매가격,중도매인 판매가격 > 채소류 > 토마토 > 전체 > 상품 > 5kg,"17,438","20,413","25,413"
토마토,전체,225,전체,소매가격,소매가격 > 채소류 > 토마토 > 전체 > 상품 > 1kg,"5,943","6,330","7,267"
토마토,토마토,225,00,중도매인 판매가격,중도매인 판매가격 > 채소류 > 토마토 > 토마토 > 상품 > 5kg,"17,438","20,413","25,413"
토마토,토마토,225,00,소매가격,소매가격 > 채소류 > 토마토 > 토마토 > 상품 > 1kg,"5,943","6,330","7,267"
딸기,전체,226,전체,중도매인 판매가격,중도매인 판매가격 > 채소류 > 딸기 > 전체 > 상품 > 2kg,"25,264","24,904","27,052"
딸기,전체,226,전체,소매가격,소매가격 > 채소류 > 딸기 > 전체 > 상품 > 100g,"1,566","1,612","1,807"
딸기,딸기,226,00,중도매인 판매가격,중도매인 판매가격 > 채소류 > 딸기 > 딸기 > 상품 > 2kg,"25,264","24,904","27,052"
딸기,딸기,226,00,소매가격,소매가격 > 채소류 > 딸기 > 딸기 > 상품 > 100g,"1,566","1,612","1,807"
멜론,전체,257,전체,중도매인 판매가격,중도매인 판매가격 > 채소류 > 멜론 > 전체 > 상품 > 8kg,"33,208","39,447","39,530"
멜론,전체,257,전체,소매가격,소매가격 > 채소류 > 멜론 > 전체 > 상품 > 1개,"12,357","13,084","13,775"
멜론,멜론,257,00,중도매인 판매가격,중도매인 판매가격 > 채소류 > 멜론 > 멜론 > 상품 > 8kg,"33,208","39,447","39,530"
멜론,멜론,257,00,소매가격,소매가격 > 채소류 > 멜론 > 멜론 > 상품 > 1개,"12,357","13,084","13,775"
방울토마토,전체,422,전체,중도매인 판매가격,중도매인 판매가격 > 채소류 > 방울토마토 > 전체 > 상품 > 1kg,"6,889","6,658","7,605"
방울토마토,전체,422,전체,소매가격,소매가격 > 채소류 > 방울토마토 > 전체 > 상품 > 1kg,"8,782","9,334","10,994"
방울토마토,방울토마토,422,01,중도매인 판매가격,중도매인 판매가격 > 채소류 > 방울토마토 > 방울토마토 > 상품 > 5kg,"23,923",,
방울토마토,방울토마토,422,01,소매가격,소매가격 > 채소류 > 방울토마토 > 방울토마토 > 상품 > 1kg,"9,394","10,109","12,050"
방울토마토,방울토마토,422,02,중도매인 판매가격,중도매인 판매가격 > 채소류 > 방울토마토 > 대추방울토마토 > 상품 > 1kg,"6,186","6,658","7,605"
방울토마토,방울토마토,422,02,소매가격,소매가격 > 채소류 > 방울토마토 > 대추방울토마토 > 상품 > 1kg,"8,555","9,069","10,619"
사과,전체,411,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 사과 > 전체 > 상품 > 10kg,"45,486","62,651","81,835"
사과,전체,411,전체,소매가격,소매가격 > 과일류 > 사과 > 전체 > 상품 > 10개,"26,934","26,217","27,401"
사과,사과,411,05,중도매인 판매가격,중도매인 판매가격 > 과일류 > 사과 > 후지 > 상품 > 10kg,"46,539","59,387","87,878"
사과,사과,411,05,소매가격,소매가격 > 과일류 > 사과 > 후지 > 상품 > 10개,"26,878","25,384","28,322"
사과,사과,411,06,중도매인 판매가격,중도매인 판매가격 > 과일류 > 사과 > 쓰가루(아오리) > 상품 > 10kg,"42,733","60,463","57,565"
사과,사과,411,06,소매가격,소매가격 > 과일류 > 사과 > 쓰가루(아오리) > 상품 > 10개,,"22,903","22,167"
사과,사과,411,07,중도매인 판매가격,중도매인 판매가격 > 과일류 > 사과 > 홍로 > 상품 > 10kg,"49,321","88,963","66,364"
사과,사과,411,07,소매가격,소매가격 > 과일류 > 사과 > 홍로 > 상품 > 10개,"27,231","32,275","24,745"
배,전체,412,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 배 > 전체 > 상품 > 15kg,"53,895","52,728","99,786"
배,전체,412,전체,소매가격,소매가격 > 과일류 > 배 > 전체 > 상품 > 10개,"35,196","29,066","44,907"
배,배,412,01,중도매인 판매가격,중도매인 판매가격 > 과일류 > 배 > 신고 > 상품 > 15kg,"54,770","52,654","101,635"
배,배,412,01,소매가격,소매가격 > 과일류 > 배 > 신고 > 상품 > 10개,"35,433","29,273","45,793"
배,배,412,04,중도매인 판매가격,중도매인 판매가격 > 과일류 > 배 > 원황 > 상품 > 15kg,"45,512","55,355","81,096"
배,배,412,04,소매가격,소매가격 > 과일류 > 배 > 원황 > 상품 > 10개,"29,056","27,233","36,559"
복숭아,전체,413,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 복숭아 > 전체 > 상품 > 4kg,"19,993","29,254","22,897"
복숭아,전체,413,전체,소매가격,소매가격 > 과일류 > 복숭아 > 전체 > 상품 > 10개,"21,847","26,123","21,056"
복숭아,복숭아,413,01,중도매인 판매가격,중도매인 판매가격 > 과일류 > 복숭아 > 백도 > 상품 > 4kg,"19,993","29,254","22,897"
복숭아,복숭아,413,01,소매가격,소매가격 > 과일류 > 복숭아 > 백도 > 상품 > 10개,"21,847","26,123","21,056"
감귤,전체,415,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 감귤 > 전체 > 상품 > 3kg,"15,107","20,587","22,751"
감귤,전체,415,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 감귤 > 전체 > 상품 > 3kg,"15,107","20,587","22,751"
감귤,전체,415,전체,소매가격,소매가격 > 과일류 > 감귤 > 전체 > 상품 > 10개,"3,429","6,695","6,313"
