date,감,감귤,거봉,골드키위,귤,네이블오렌지,대추,두리안,딸기,라임,라즈베리,레드향,레몬,리치,망고,매실,멜론,모과,무화과,바나나,배,백도,복숭아,블랙베리,블루베리,사과,살구,샤인머스캣,석류,수박,아보카도,애플망고,앵두,오렌지,용과,유자,자두,자몽,적포도,참외,천도복숭아,천혜향,청귤,청포도,체리,카라향,캠벨포도,코코넛,크랜베리,키위,파인애플,패션후르츠,포도,한라봉,황도
2023-01-01,10.85716,33.50227,1.86637,7.92165,58.49808,0.37845,49.39668,37.55813,59.97211,7.2192,5.3837,100.0,10.32767,32.40603,61.44327,1.29046,91.4195,18.99637,13.20016,26.76456,32.94731,4.06414,11.78829,7.93726,21.65488,56.40907,0.86201,3.20876,3.41048,11.30479,36.36853,70.47292,0.85765,11.7432,43.5406,32.13318,10.73573,12.96265,0.22886,7.33877,3.55264,56.80331,9.83212,1.9415,34.56469,3.09058,0.9113,13.30594,4.64661,14.21907,23.63117,11.53625,12.59008,44.39959,10.05924
2023-02-01,10.19659,21.68455,1.7351,5.71685,33.41442,0.57712,31.63609,32.70121,44.29087,7.43415,5.05384,39.36047,11.03332,29.71436,60.43395,2.20401,84.23056,13.59502,12.09388,28.05509,22.02273,3.32071,14.85226,7.68731,19.50198,44.09561,0.87359,1.75527,2.41169,18.17835,36.38455,47.20306,0.8678,16.9774,39.64893,18.48817,13.15216,11.96326,0.221,17.4151,3.77648,38.74011,9.40307,1.67359,33.6783,2.84966,0.92297,11.86244,7.23994,13.87539,25.3751,11.78621,10.91254,24.53642,10.55456
2023-03-01,7.90831,15.2182,1.69192,7.37069,18.35409,1.2774,27.52329,33.22939,46.57957,11.74638,5.7913,13.55026,100.0,34.91201,75.97927,2.30453,96.25665,13.82968,14.7443,35.07018,17.40621,4.02279,15.1865,6.81009,23.60855,65.82421,1.19811,1.58429,2.2715,22.8877,41.71937,55.4025,1.04406,41.48581,48.92219,17.21767,12.48724,13.75277,0.31973,43.56816,4.57205,42.2513,10.23063,2.54237,21.44753,8.14358,0.96089,13.242,6.47986,14.98118,31.50209,14.11864,12.58692,20.39138,10.78469
2023-04-01,6.74023,9.37808,1.88795,8.66677,11.06522,1.43562,21.99141,49.71576,34.45675,8.47726,5.91098,4.09035,35.88625,32.60924,72.51198,2.45212,95.80172,14.43507,14.59187,36.2522,16.15178,4.55497,23.35627,6.75463,27.85888,56.28245,1.20247,1.47839,1.94186,23.21278,53.88073,40.73989,1.17276,32.00025,50.01708,15.50424,14.15569,13.23772,0.47926,52.78307,6.45445,18.66431,9.71132,3.10083,17.32045,100.0,1.17559,13.5582,4.47146,14.40159,35.36923,14.51163,13.007,9.92635,12.21941
2023-05-01,6.29286,8.67826,2.43404,13.70597,9.72192,1.06705,22.501,56.75895,27.78236,7.88941,7.09508,1.93228,18.93934,69.63746,83.19447,8.46564,100.0,12.77996,15.35982,34.76038,16.01591,5.8144,38.4518,9.67089,42.04394,63.6383,2.37998,1.39986,1.99017,42.26358,43.57321,39.80641,3.16284,20.55879,72.68737,14.62947,25.2221,13.38319,0.48756,57.89574,11.55958,5.56328,17.57591,3.18856,29.23666,70.80123,1.2917,15.2417,4.38826,17.67724,35.0215,16.55908,13.93141,5.39182,11.60723
2023-06-01,7.17455,9.20034,3.38852,11.00118,10.40979,0.55015,19.21576,70.84534,22.3069,7.57282,8.92249,0.9258,26.27746,41.3009,70.28622,22.83423,91.62053,12.31202,16.18552,27.82522,14.27992,9.18905,71.90182,8.46673,97.34791,62.83521,10.00687,1.17459,1.94679,51.76836,40.46115,29.96056,5.58241,14.11121,62.82988,13.27149,53.67983,12.22787,0.39422,37.69899,69.76744,2.23908,15.52506,3.39364,53.41132,12.84688,2.05306,14.00492,4.47146,15.7166,32.92282,15.45891,13.63039,3.08759,22.57351
2023-07-01,6.26161,9.33087,5.91533,8.05368,11.50152,0.66522,19.51846,100.0,18.84985,7.98589,6.00476,0.71992,18.99005,32.58997,63.83414,4.05106,95.41248,10.90684,25.30909,24.28559,13.27588,12.19514,90.95803,9.49757,58.36875,58.48188,2.89366,2.01487,1.67562,48.61646,44.07708,28.88181,1.47212,13.04635,47.37095,13.23539,54.20038,11.29903,0.28899,27.78662,52.67572,1.76217,27.39693,3.15693,38.07868,3.81963,4.73623,14.86068,4.00658,13.7249,33.86617,16.12485,17.22597,2.22018,19.78137
2023-08-01,6.281,10.5361,13.72679,9.74248,15.25453,1.24504,22.23996,79.64473,18.539,8.74359,5.68693,0.91163,24.01825,31.78414,50.66802,1.78762,99.49856,13.16874,75.59476,23.40754,15.81034,11.19731,83.42984,11.0586,26.45329,72.03162,1.0507,5.44105,1.95287,48.05807,40.50047,28.08135,1.1739,10.43431,47.84657,13.78663,34.59871,12.67069,0.30537,15.08976,38.47682,1.91709,100.0,3.51099,22.99992,1.64507,13.33706,15.23907,4.29229,14.94187,39.12776,19.90848,34.54175,2.04771,21.40937
2023-09-01,10.38882,16.63033,13.40824,11.80165,22.95795,1.15694,47.90819,39.03229,17.75405,7.07583,4.64916,2.14221,14.99822,27.66561,48.87049,1.34494,87.00501,17.21351,76.51658,22.43322,33.43102,5.25345,30.0439,7.56944,18.39123,97.14543,0.80098,10.93527,2.64252,19.60919,33.65355,40.72589,0.78598,9.83421,48.38963,16.30819,18.08354,12.14282,0.34463,6.75548,12.93677,4.61249,68.40833,3.76116,13.00453,1.49675,11.33884,12.79529,4.02811,16.20494,32.51202,13.68295,37.53609,3.03055,11.98478
2023-10-01,18.3185,36.19739,5.4906,9.03376,59.13096,0.94659,81.0425,31.43552,26.99456,6.46037,4.39483,2.44429,13.74196,26.69335,39.98844,1.18206,94.49512,42.93311,59.62476,21.97173,24.05286,3.58141,12.829,6.73018,14.54156,100.0,0.795,5.49332,2.89689,10.82499,29.88665,19.11237,0.82006,8.99548,43.50118,35.68919,10.67679,12.3109,0.29819,4.28219,3.55174,4.35463,25.76542,2.69943,11.01138,1.42663,4.96435,10.99266,4.17735,15.18895,26.604,11.15603,17.10375,3.1956,7.50083
