Product Name,Weight,Wholesale Price
"(박스포함) 성주 참외 혼합 (랜덤)",2kg,10400
"(박스포함) 성주 참외 혼합 (랜덤)",3kg,14700
"(박스포함) 성주 참외 혼합 (랜덤)",5kg,23800
"(박스포함) 성주 참외 소과",2kg,12300
"(박스포함) 성주 참외 소과",3kg,17100
"(박스포함) 성주 참외 소과",5kg,26800
"(박스포함) 성주 참외 중소과",2kg,12600
"(박스포함) 성주 참외 중소과",3kg,17700
"(박스포함) 성주 참외 중소과",5kg,27800
"(박스포함) 성주 참외 중대과",2kg,12000
"(박스포함) 성주 참외 중대과",3kg,16500
"(박스포함) 성주 참외 중대과",5kg,25800
"쥬스용 부사사과",3kg,9500
"쥬스용 부사사과",5kg,12500
"쥬스용 부사사과",10kg,19900
"애플망고","1kg (2개입)",9000
"애플망고","2kg (4-5개입)",15000
"애플망고","4kg (7-10개입)",26000
"(정품) 천혜향 소과",2kg,9500
"(정품) 천혜향 소과",3kg,11500
"(정품) 천혜향 소과",5kg,16500
"(정품) 천혜향 소과",10kg,28000
"(정품) 천혜향 중대과",2kg,11500
"(정품) 천혜향 중대과",3kg,12500
"(정품) 천혜향 중대과",5kg,18000
"(정품) 천혜향 중대과",10kg,31500
"(정품) 한라봉 중소과",2kg,8500
"(정품) 한라봉 중소과",3kg,11500
"(정품) 한라봉 중소과",5kg,15000
"(정품) 한라봉 중소과",10kg,26000
"(정품) 한라봉 중대과",2kg,10000
"(정품) 한라봉 중대과",3kg,12500
"(정품) 한라봉 중대과",5kg,17000
"(정품) 한라봉 중대과",10kg,29500
"하우스수박",4kg,20000
"하우스수박",5kg,23500
"하우스수박",6kg,28000
