Product Name,Weight,Wholesale Price
"천혜향 (소과)",2kg,9700
"천혜향 (소과)",3kg,13500
"천혜향 (소과)",5kg,20900
"천혜향 (소과)",10kg,37800
"제주 하우스한라봉 (가정용)",1.5kg,8400
"제주 하우스한라봉 (가정용)",2.5kg,11400
"제주 하우스한라봉 (가정용)",4.5kg,17100
"제주 하우스한라봉 (가정용)",9kg,30300
"제주 노지한라봉 (가정용)",1.5kg,7100
"제주 노지한라봉 (가정용)",2.5kg,9200
"제주 노지한라봉 (가정용)",4.5kg,13700
"제주 노지한라봉 (가정용)",9kg,23500
"설향 딸기 (특품)",350g,7000
"설향 딸기 (특품)",700g,10000
"경북 부사사과 (정품)",2kg,17300
"경북 부사사과 (정품)",3kg,23100
"경북 부사사과 (정품)",5kg,34200
"경북 부사사과 (가정용 특상)",1kg,7200
"경북 부사사과 (가정용 특상)",2kg,11300
"경북 부사사과 (가정용 특상)",3kg,15800
"경북 부사사과 (가정용 특상)",5kg,27800
"경북 부사사과 (가정용 일반)",1kg,6300
"경북 부사사과 (가정용 일반)",2kg,9400
"경북 부사사과 (가정용 일반)",3kg,13100
"경북 부사사과 (가정용 일반)",5kg,20200
"경북 부사사과 (가정용 실속)",1kg,5900
"대추 방울토마토 (1-3번과)",1kg,9200
"대추 방울토마토 (1-3번과)",2kg,14800
"대추 방울토마토 (1-3번과)",3kg,20300
"대추 방울토마토 (1-3번과)",5kg,31500
"2025 저장감자 (중)",2kg,5700
"2025 저장감자 (중)",3kg,7000
"2025 저장감자 (중)",5kg,8900
"2025 저장감자 (중)",10kg,14500
"성주 꿀참외 (가정용 혼합)",2kg,11500
"성주 꿀참외 (가정용 혼합)",3kg,16800
"성주 꿀참외 (가정용 혼합)",5kg,26500
"성주 꿀참외 (정품)",3kg,19800
"성주 꿀참외 (정품)",5kg,31500
"하우스수박 (소형)",4kg,21000
"하우스수박 (소형)",6kg,29000
"하우스수박 (가정용)",5kg,24500
"샤인머스캣 (가정용)",1.5kg,27500
"샤인머스캣 (가정용)",2kg,35000
"샤인머스캣 (정품)",2kg,42000
"캠벨포도 (가정용)",2kg,11500
"캠벨포도 (정품)",4kg,21000
"거봉포도 (가정용)",2kg,14000
"토마토 완숙 (가정용)",2kg,8500
"토마토 완숙 (가정용)",3kg,12000
"토마토 완숙 (정품)",5kg,18500
"복숭아 천도 (가정용)",2kg,15500
"복숭아 천도 (가정용)",3kg,21500
"복숭아 백도 (가정용)",2kg,18500
"제주 애플망고 (가정용)",2개입,16500
"제주 애플망고 (가정용)",4개입,30000
"멜론 머스크 (가정용)",2개입,21000
"멜론 머스크 (정품)",3개입,30000
